WebSocket transport not available. Install eventlet or gevent and gevent-websocket for improved performance.
 * Running on http://127.0.0.1:5001/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Jul/2026 20:51:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbrCC5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbrDfu HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbrF7a HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbrGbO HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbrI3A HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbrJWt HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbrK-a HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbrMSQ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:51:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbrNw2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbrPNw HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbrQrW HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbrSJE HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbrTnA HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbrVF1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbrWiZ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbrYAF HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbrZe8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzbrb5v HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:52:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbrcZV HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzbre1L HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbrfV1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzbrgyw HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbriQX HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbrjuO HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbrlM7 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzbrmpw HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbroHT HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbrplP HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:53:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbrrD8 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzbrsgs HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzbru8d HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbrvcH HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbrx41 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbryXj HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbrz_h HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzbr_TQ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:46] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs0x5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs2Om HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:54:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs3sS HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs5KJ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs6nz HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:16] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs8Fk HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs9jc HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbsBBP HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbsCfD HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbsE6s HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbsFad HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbsH3_ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:55:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbsIVz HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbsJzo HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:10] "GET /socket.io/?EIO=4&transport=polling&t=PzbsLRU HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbsMvR HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:22] "GET /socket.io/?EIO=4&transport=polling&t=PzbsOMy HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbsPqi HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbsRIV HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbsSmN HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbsUD- HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbsVhm HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:56:58] "GET /socket.io/?EIO=4&transport=polling&t=PzbsX9U HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbsYdR HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzbsa57 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbsbYh HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbsd0Z HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:28] "GET /socket.io/?EIO=4&transport=polling&t=PzbseUL HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:34] "GET /socket.io/?EIO=4&transport=polling&t=Pzbsfy7 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:40] "GET /socket.io/?EIO=4&transport=polling&t=PzbshPk HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbsitU HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:52] "GET /socket.io/?EIO=4&transport=polling&t=PzbskM5 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:57:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbslo_ HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:04] "GET /socket.io/?EIO=4&transport=polling&t=PzbsnGm HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:10] "GET /socket.io/?EIO=4&transport=polling&t=Pzbsokb HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:16] "GET /socket.io/?EIO=4&transport=polling&t=PzbsqCO HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:22] "GET /socket.io/?EIO=4&transport=polling&t=Pzbsrg4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:28] "GET /socket.io/?EIO=4&transport=polling&t=Pzbst7t HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:34] "GET /socket.io/?EIO=4&transport=polling&t=PzbsubX HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:40] "GET /socket.io/?EIO=4&transport=polling&t=Pzbsw3E HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:46] "GET /socket.io/?EIO=4&transport=polling&t=PzbsxX4 HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:52] "GET /socket.io/?EIO=4&transport=polling&t=Pzbsy-t HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:58:58] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs-Sa HTTP/1.1" 200 -
127.0.0.1 - - [15/Jul/2026 20:59:04] "GET /socket.io/?EIO=4&transport=polling&t=Pzbs_wN HTTP/1.1" 200 -
